,Video.ID,URL,answer,question,Caption,Transcript,Text
1,_amandamdorsey-3244-50,https://www.tiktok.com/@_amandamdorsey/video/7081676796906720555,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,my childhood nickname “mandy moo” finally makes sense 🐮 #breastmilk #exclusivepumping #oversupply #milkstash #ounces #deepfreezer #milkstorage #pumpingmom #exclusivepumper,NA,my childhood nickname “mandy moo” finally makes sense 🐮 #breastmilk #exclusivepumping #oversupply #milkstash #ounces #deepfreezer #milkstorage #pumpingmom #exclusivepumper
2,_bangitstiffany0-1300000-21,https://www.tiktok.com/@_bangitstiffany0/video/7176650487444426026,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Us mamas are on a grind at home i dont care what anyone says 😅 #momtok #makebottleswithme #drbrownbottles @Dr. Brown's i love your bottles 💕 #momsunder25 #size1 #girlmom #easygoingmom #stayathomemom #dailytasks #bottles #babybottles  #formulafedbaby #formulafed #similiacformula #similiac #sahm #gasdrops #registryideas #amazonmusthaves #spedup #relaxingvideos ,NA,Us mamas are on a grind at home i dont care what anyone says 😅 #momtok #makebottleswithme #drbrownbottles @Dr. Brown's i love your bottles 💕 #momsunder25 #size1 #girlmom #easygoingmom #stayathomemom #dailytasks #bottles #babybottles  #formulafedbaby #formulafed #similiacformula #similiac #sahm #gasdrops #registryideas #amazonmusthaves #spedup #relaxingvideos 
3,_bangitstiffany0-1700000-21,https://www.tiktok.com/@_bangitstiffany0/video/7224278268579564842,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Wash babh bottles with me ASMR style 😎🤘🏻  #washbabybottles #momlife #asmr #asmrsounds #relaxingsounds #cleaning #cleaningaesthetic #cleaningmotivation #drbrownsbottles #youngmom #momsunder25 #momsunder30 #coolmoms #sahm  Cleaning Aesthetic  Cleaning  Wash Baby Bottles With Me  Dr Browns Bottles ,NA,Wash babh bottles with me ASMR style 😎🤘🏻  #washbabybottles #momlife #asmr #asmrsounds #relaxingsounds #cleaning #cleaningaesthetic #cleaningmotivation #drbrownsbottles #youngmom #momsunder25 #momsunder30 #coolmoms #sahm  Cleaning Aesthetic  Cleaning  Wash Baby Bottles With Me  Dr Browns Bottles 
4,_bangitstiffany0-382400-14,https://www.tiktok.com/@_bangitstiffany0/video/7190917110678179118,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,"Episode 139726047 | me making bottles again 😇  Just know if you’re a first time mama and you’re exhausted, you’re not alone 😩  I hope this reaches more mom friends! I’d love to support you all! 🫶🏻    #drbrownsbottles #makingbottles #makebottleswithme #formulafedbaby #5montholdbaby #drbrowns @drbrowns #momsunder25 #sahm #firsttimemom #firsttimeparents #youarenotalone #stayathomemom #momlife #satisfying #bottlemaking #babytok #momtok #UnlimitedHPInk #girlmom #5monthold ",NA,"Episode 139726047 | me making bottles again 😇  Just know if you’re a first time mama and you’re exhausted, you’re not alone 😩  I hope this reaches more mom friends! I’d love to support you all! 🫶🏻    #drbrownsbottles #makingbottles #makebottleswithme #formulafedbaby #5montholdbaby #drbrowns @drbrowns #momsunder25 #sahm #firsttimemom #firsttimeparents #youarenotalone #stayathomemom #momlife #satisfying #bottlemaking #babytok #momtok #UnlimitedHPInk #girlmom #5monthold "
5,_bangitstiffany0-86500-22,https://www.tiktok.com/@_bangitstiffany0/video/7173708008109755690,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Make bottles with me 💓 #formulafedbaby #formula #babybottles #makebottleswithme #drbrownsbottles #easygoingmom #dailyroutine #youngmom #girlmom #3montholdbaby #size1 #relaxingvideos #bottles #similac #similacsensitive ,NA,Make bottles with me 💓 #formulafedbaby #formula #babybottles #makebottleswithme #drbrownsbottles #easygoingmom #dailyroutine #youngmom #girlmom #3montholdbaby #size1 #relaxingvideos #bottles #similac #similacsensitive 
6,_brelashae-120100-5,https://www.tiktok.com/@_brelashae/video/7170476112303377710,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,"To each is own but i STILL sanitize, bottles, binkys, pump parts, teething toys you name it 🤷🏽‍♀️ #fyp #sanitizebottles #pumpparts #pumpingmom #puidsellypump #ikarepump #nanobebe ",Yeah. Good soup.,"To each is own but i STILL sanitize, bottles, binkys, pump parts, teething toys you name it 🤷🏽‍♀️ #fyp #sanitizebottles #pumpparts #pumpingmom #puidsellypump #ikarepump #nanobebe  Yeah. Good soup."
7,_brelashae-3645-34,https://www.tiktok.com/@_brelashae/video/7154008354791165226,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Good Morning 😊 #fyp #breasfeeding #milkmaker #dontforgettopump #pumpingmama #pourwithme #nursingmama #workingmama #milkymama #pumpwithme #pumpingatwork #portablepumping #ikarebreastpump ,NA,Good Morning 😊 #fyp #breasfeeding #milkmaker #dontforgettopump #pumpingmama #pourwithme #nursingmama #workingmama #milkymama #pumpwithme #pumpingatwork #portablepumping #ikarebreastpump 
8,_brinicole___-836-60,https://www.tiktok.com/@_brinicole___/video/7323857948781038894,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,#fyp #makebottleswithme #breastmilk #nursingmom #pumpingmom ,NA,#fyp #makebottleswithme #breastmilk #nursingmom #pumpingmom 
10,_fulloflove-4746-191,https://www.tiktok.com/@_fulloflove/video/7347777832015187242,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Pump with me ✨🍼 #fyp #fypシ #fyp #momcozy #pumping #pumpingmom #momsoftiktok #exclusivepumping #milkstorage #oversupply ,"Maybe your neighbor noticed. I think he'll notice. Back again. I'm cozy S12 Pro Oat Milk. Mix all this fat up. Mix all the fat up. I will be doing half the bag milk tomorrow. So let's get to it. This was my morning with 11 ounces and we are like 24. 24 ounces. So this pump probably fills that up. But I have to wait on it to cool see what we got. Mom Cozy versus the baby Buddha. I think I like the baby Buddha better, but this one does the job. Excuse me Mr. Crawford. It's about the book I borrowed. This was a 15 minute pump as well. But with the mon cozies I have to use this one almost like on the highest section. 5 ounces. And by the way, shout out Mom Cozy for sending me. Well, they sent me a whole new pump because my motors like stop working. They didn't stop working, but they stopped working effectively. So Mom Cozy sent me a new pump. So this is my first time using the new pump and we have five out of one side and it looks like we got about four and a half out of the next size. So afternoon pump successful and 9 ounces. I also nursed my daughter before I pump this. So pretty good. I would say. Come back to my TED talk this evening for the night pump. By the way, still hate washing pump parts.","Pump with me ✨🍼 #fyp #fypシ #fyp #momcozy #pumping #pumpingmom #momsoftiktok #exclusivepumping #milkstorage #oversupply  Maybe your neighbor noticed. I think he'll notice. Back again. I'm cozy S12 Pro Oat Milk. Mix all this fat up. Mix all the fat up. I will be doing half the bag milk tomorrow. So let's get to it. This was my morning with 11 ounces and we are like 24. 24 ounces. So this pump probably fills that up. But I have to wait on it to cool see what we got. Mom Cozy versus the baby Buddha. I think I like the baby Buddha better, but this one does the job. Excuse me Mr. Crawford. It's about the book I borrowed. This was a 15 minute pump as well. But with the mon cozies I have to use this one almost like on the highest section. 5 ounces. And by the way, shout out Mom Cozy for sending me. Well, they sent me a whole new pump because my motors like stop working. They didn't stop working, but they stopped working effectively. So Mom Cozy sent me a new pump. So this is my first time using the new pump and we have five out of one side and it looks like we got about four and a half out of the next size. So afternoon pump successful and 9 ounces. I also nursed my daughter before I pump this. So pretty good. I would say. Come back to my TED talk this evening for the night pump. By the way, still hate washing pump parts."
13,_kiaraamber-7648-42,https://www.tiktok.com/@_kiaraamber/video/7098182311614614785,No-Omitted,Is this transcript giving advice for caring for a high risk infant?,Cleaning & organising is so therapeutic 🥹 #cleantok #cleaning #momsoftiktok #momlife #firsttimemom #lenovojustbeyou #fyp,Sterilis babies bottles and my breast pump with.,Cleaning & organising is so therapeutic 🥹 #cleantok #cleaning #momsoftiktok #momlife #firsttimemom #lenovojustbeyou #fyp Sterilis babies bottles and my breast pump with.
