Video.ID,URL,question,Text
_therealyana-32500-11,https://www.tiktok.com/@_therealyana/video/7091043793637707054,Is the text defending formula feeding?,"Reply to @cleaning_with_halo Some prefer sink water, but personally I’d rather distilled water for my son 😊 #babywater #fyp #formulafed #formulafedandthriving #momsoftiktok #relateable #momlife So this is the water that I use for his formula bottles. It's only a dollar at Walmart. You can get it from Target or any grocery store as well. And if I don't have water, then I just use a regular water bottle."
_trania-1619-53,https://www.tiktok.com/@_trania/video/7279823401886190890,Is the text defending formula feeding?,Pump with me at work✨ #breastfeed #milksupply #momsoftiktok #babytok #pumpingmom #pumpingatwork #breastfeedingworkingmom #baby #pumpingbelike #momlife #fyp #breastmilkisthebestmilk #foryou #feedthatbaby #liquidgold #momof2 #breastfeed #normalizebreastfeeding🤱🏻 #momswhobreastfeed  Pump session at work. Six ounces probably would have been more. I spilled a decent amount on my shirt and pants.
alexandraaa_moure-2633-122,https://www.tiktok.com/@alexandraaa_moure/video/7260886696588250411,Is the text defending formula feeding?,"Love making these for yall! It held me somewhat accountable to get my pumps of the day done. I slacked off by ONE! Listen its hard guys! Anyways hope you like this vlog, love yall! #fyp #breastfeedingweek #breastfeedingjourney #breastfeeding #breastfeedingtok #breastfeedingtips #pumpingmom #pumpingmama #pumpingjourney #exclusivepumping #ebf #breastmilk #momcozym5 #pumpwithme #pumpwithmefortheday #motn #motnpump #fpotd #firstpumpoftheday #momcozypump #davinandadley #liquidgoldgoods #engorged #milkstorage #discount  Okay, mamas, I have no idea what happened to my audio here, but you're just gonna have to listen to my voice now. Here I am. I'm going to show you what it's like to pump for a whole day using the mom cozy M5. This is my actual first pump of the day. I really love these pumps. They're quiet, discreet, hold up to like 6, 7 ounces of milk if you're careful. The molds are amazing and the whole design of it is pretty, pretty dope. I think I made like 11 oun pretty good. These containers are from Cradle Plus. I love them. They come in 33 size containers, 33 ounce size containers and 16 ounce containers. And it comes with stickers to decorate. This is my second pump of the day. She will literally rock herself on to let me know that she wants me to pat her butt and rock her to sleep. Love it. Here, dude. Wake up. Every time I stop. I'm just so cute. Isn't she so cute? You got baby fever. I got baby fever too. I want another one. I know I'm crazy. I know I'm crazy. Okay, don't judge me. But I can. If I can have two or three more, I definitely would. Don't tell my husband. She's just so cute. I love you, mommy. Mama. Look at you. Mama. I love you. I love you. Love you. Love you, baby. Okay, good night. Good night. Okay, I am doing my last month of the night here. Just a little posy posy for you. I was feeling myself, feeling myself, feeling myself, feeling myself. And I think I got about six ounces here, if I'm not mistaken."
alexiabreceda-1403-59,https://www.tiktok.com/@alexiabreceda/video/7302146199849782574,Is the text defending formula feeding?,"Back to work ☹️ ehat wearable pumps do you guys like? I could get a better one #backtoworkaftermaternityleave #pumpingatwork #pumpingmama #breastmilk  Hey, y'all, pump with me. I just came back to work yesterday after being out for two months. It was really hard leaving my baby. But you gotta do what you gotta do. This life sucks. But I'm working at three or four different middle schools, so I had to invest in some wearable pumps because I do not want to be pumping in, like, the teachers lounge or anything like that and somebody walk in and, like, you know, I don't want to be asking for a room, like being doing too much. So just come to my car pump. And it does have a timer thing, so that works perfect. But let's see how many ounces we get in today's pump. My last pump was at 7am It's 10:20pm so we'll see. So this is what we're working with. Let's see if it fits all in here. So let's do it. I'm gonna have to stop this, and then I'll come back to show you how much I did. This one we made."
aliyahluvsyou-697-81,https://www.tiktok.com/@aliyahluvsyou/video/7079475556009397550,Is the text defending formula feeding?,"I bottle and Breast feed with no formula supplements. The pump is a #momcozypump    #nursing #breastfeadingmomma #breastfeedingisnatural #breastfeedingmusthaves #milkpouring #milkstoragebag #milkstoragetips #momsunder25 #pumpingmom #pumpingmama #babyfever Okay. I told myself I was gonna try to film some, like, nursing slash breastfeeding videos. So I guess this is me showing just a little bit of my process. My process. But this is milk that I pumped over the night and went ahead and put in the fridge. It is only about like 3 and some ounces. And then this is what I just pumped at 2:15. I'm gonna start trying to do it more. But I am nursing also, so I don't want to overly pump, if that makes sense. I don't even know if that's a thing. But what I do is I put it in this bottle first or a different bottle that has a sealable lid, you know, and then I pour that in. Let's see. And again, not that much, but I will pump later and then also show, I guess, my progression throughout the day. I'm gonna let this get cold and then combine it with this. Because this just came out of the fridge. I just brought it for show. And then I'm going to bag some of it because I put them in about four ounce baggies and I have about three of those. She is a week old today, so. Yeah. I also see why they call it liquid gold. Because this is more milky than it was. It was way. It was even more yellow than this, but good stuff."
ameliashotmessmama-1271-28,https://www.tiktok.com/@ameliashotmessmama/video/7139010225876651307,Is the text defending formula feeding?,Day 9 #babiesoftiktok #pumpingmom #breastfeedingmom #breastfeedingisnatural #breastfeedingjourney #pumpingjourney #girlmom #milkstash #milkstorage #medelapumpsession 
angelicaelissa_-39400-29,https://www.tiktok.com/@angelicaelissa_/video/7223958987299982634,Is the text defending formula feeding?,Hands down one of my favorite feeding purchases! #formulaprep #enfamil #formulafeeding #firsttimemom #momhacks #formulafedbaby #formulapitcher #drbrownsmixingpitcher #drbrowns #formulafeedinghacks #nightfeedings #babyformula #fyp #momsoftiktok #formulahacks 
authenticallyerika-849-116,https://www.tiktok.com/@authenticallyerika/video/7275513049392418090,Is the text defending formula feeding?,"It was so good to get home and hug my babies🥹💓 #Mommyblogger #motherhood #momblogger #motherhoodunfiltered #michiganmom #motherhoodunplugged #realmom #momlife #twoundertwo #2under2 #toddlermom #momtok #momhacks #momtips #honestmom #honestmotherhood #boymom #girlmom #newbornbaby #newbornmom #pregnancy #pregnancyjourney #secondbaby #motherhoodjourney #christianmom  #pumping #pumpingmom #baggingbreastmilk #liquidgold #breastfeeding #nursing #exclusivelypumping #combofeeding #nursingandpumping #spectrabreastpump #lansinohhandpump #oversupply #oversupplier #breastmilkoversupply  #elvie #elviebreastpump #breastfeedingjourney #breastfeedingtok #Newborn #Newbornbaby #Laboranddelivery #Postpartum #motherhoodjourney #pregnancy #pregnancyjourney #csection #csectionrecovery #postpartumcsection #freezerstash #pitchermethod #pitchermethodbreastmilk #pitchermethodpumping #maternityleave #homemakertiktok #bluecollarwife #dairyfree #dairyfreebreastfeeding #dairyallergy #workingmom #workingmommorningroutine #getreadywithme #grwm #grwmforwork #pumpingatwork #fostercaresupervisor #fostercareworker #socialworker  Get ready with me for my first day back after maternity leave. I'm a mom to two under two and after 11 and a half weeks with my baby, I am going back to work in foster care. I Woke up at 4am and started by pumping and then I packed some breast milk to send with my baby because they're going to my parents house today. So then I fed him and we did some snuggles and playtime and then I helped my husband load them up in the car. So I put our baby in and he put our toddler in. You want mama to get in the car? Yeah, Mama has to go to work. Okay. But I'll see you as soon as you get home. I'm gonna miss you. I'm gonna miss you. You have a great day with Nana and papa, okay? After my husband left with our kids to take them to my parents house, I took a shower and got ready for the day. I ended up blow drying my hair and then I put some makeup on. I don't usually wear makeup, but I decided to today because I felt like I was gonna cry. It was really my first time being away from my baby. Honestly, I just didn't feel ready to be away from my baby. I was also off of work for about a month before my baby was born because of some pregnancy complications. So I've gotten to spend a lot of time toddler too. I was off of work all of June, July and August and now it's September 5th and I'm going back. I love my job and I obviously went to college to do this and I have years of experience. I work with my best friend and we have a great team, but I just don't want to leave my babies. So today was definitely a hard day. But here I am just shutting the door and heading to the car. Between fall decorations for my office and pumping supplies, I was bringing so much to work. So I'm going to pump on my way. But thanks for joining."
babyzsmommaa-1096-84,https://www.tiktok.com/@babyzsmommaa/video/7328535502565461291,Is the text defending formula feeding?,"A game changer in my pumping journey!! Seen results within less than a week of using this and i nothing can EVER change my mind abt this pump!  BabyBuddha has saved my milk supply from pumping about 3 ounces total to 5 ounces or MORE now! 😛 Use code “REYESWL” for $$$ off ANY BabyBuddha product😌🤞🏽  I said this already but ill say it again… EVERY momma needs one of these!!!  Especially if you’re a momma struggling with your milk supply. Get you a BabyBuddha and watch how its so amazing! Let the pump speak for itself and show you why I brag about it soo much! 👀✨ •@Motherlove Herbal Company nipple cream applied prior to my session for ease💜  •@BabyBuddha pump motor to make sure i empty since its my first pump of the day! 😇 •@Momcozy Official collection cups from my v2 because they are soo comfortable🤩 Whats your favorite thing abt BabyBuddha’s portable pump? 😁 #p#powerpumpp#powerpumpwithmeB#BellababyB#BellaBabybreastpump8#8ampowerpumpb#breastpumpbreastpumpunboxingu#unboxwithmep#packagep#powerpumpresultsm#momsoftiktokm#momtokD#DITLD#DayInMyLifeS#SpendTheDayWithMeD#DayInTheLifeWithZaiZair#raisingaboym#milkinmommam#milkmommar#raisingaboym#motherlovem#motherlovebreastfeedingm#motherlovesbreastfeedingnipplecream#1#1sttimemomb#breastmilkp#postpartump#postpartumjourneyp#pumpingjourneyp#postpartumrecoveryp#postpartumweightlossM#MomCozyM#MomCozyV2M#MomCozyBreastpumpm#momcozybreastpumpreviewm#momcozypumpm#momcozywearablem#momcozywearablebreastpumpN#NCVIN#NCVI8111N#NCVIwearablesB#BreastpumpUnboxingu#unboxwithmeb#breastpumpreveal#l#lansinohl#lansinohpumpl#lansinohpumpl#lansinohbreastpumpl#lansinohmanualbreastpumpb#breastpumpp#pumpingmamab#bagmilkb#bagginmilkf#freezerstashm#milkstashb#baggingmilkm#milkpourp#pourmilkm#milkstoragem#milksupplyp#pumpingtipsp#pumpingmomsm#milkdumpm#mombrainb#breastmilkisthebestmilkb#breastpumpreccomendationsl#lansinohbottlesl#lansinohmanualbreastpumpd#drbrownd#drbrownsbittlesp#parentschoicep#parentschoicemilkstoragep#parentschoicemilkstoragebagsb#breastmilkletdownn#newmomB#BabyZaiH#HarrisFamily Good morning, mamas. This is my 8am using my baby Buddha. This is my holy grail of saving my milk supply. It was a time when I was struggling for a couple months. I was only pumping maybe about 3 ounces, and I didn't understand why because I would get 5 ounces or more. But ever since I got the Baby Buddha, it's definitely increased my milk supply up to its regular amount again. So this is my left side. I think this one had about 9.4 or 5 ounces, I think. But yeah, this is an amazing breast pump. It's small, it's portable, it is a little bit louder than my mom cozy. But it's really not that bad. I use it all the time in public. This definitely put my mind at ease once I see my luxifier finally increasing again. So this is going to be my right side. He didn't wake up to eat for his last round, so there was a little bit more than usual. But he's been teething really bad and hasn't been eating as much, so it's kind of stressing me out about that. But I think in total, we got about 12 ounces this morning from our 8am pump. And yes, I do have a discount code you mamas can use for any Baby Buddha product. Use Reyes WL at checkout. Thanks for pumping with me."
bravemamacoach-1593-62,https://www.tiktok.com/@bravemamacoach/video/7090621494425931051,Is the text defending formula feeding?,Do you use the pitcher method? #exclusivepumping #exclusivepumper #prepbottles #postpartum #breastfeeding #pumpingatwork #pumping #liquidgold Prep bottles with me. Pitcher method. I hate spilling milk. I always overfill seven bottles ready for the day.
csandrade890-321-90,https://www.tiktok.com/@csandrade890/video/7349264878084885802,Is the text defending formula feeding?,Morning work pump with my @Momcozy Official M5 pumps! I do need replacement parts for them. I was wearing blue in honor if #worlddownsyndromeday  #pumpingatwork #wearablepump #momcozy #momcozym5 #momcozypump #fyp #pumpitup #breastfeedingworkingmom #pumpingmilk #pumpingmama #pumpingmom #pumping #pumpingjourney #momsoftiktok #momof3 #momlife #momtok #breastfeeding #breastfeedingmomsbelike #breastmilk #breastmilkstorage #breastmilktok #breastmilkisthebestmilk 
helebell511-6573-12,https://www.tiktok.com/@helebell511/video/7236517322570091818,Is the text defending formula feeding?,What to do with leftover liquid gold from your baby’s bottle 🍼##liquidgold##breastmilkhack##breastmilkbath##newmom##babybottle##milkstorage
